Characteristics,Hypocotyl : Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol glands,Leaf: Nectaries,Leaf: Petiole pigmentation,Leaf: Shape,Plant: Stem hairiness,Plant: Stem pigmentation,Plant: Height (cm),Plant: Growth habit,Bract: Type,Flower: Time of flowering (50% of plants with at least one open flower),Flower: Petal colour,Flower: Petal spot,Flower: Stigma,Flower: Anther filament colouration,Flower: Pollen colour,Flower: Male sterility (Only for A and B lines),Boll: Bearing habit,Boll: Colour,Boll: Shape (longitudinal section),Boll: Surface,Boll: Prominence of tip,Boll: Opening,Boll: Weight of seed cotton/boll (g),Seed: Fuzz,Seed: Fuzz colour,Seed: Index (100 seed wt in gram),Ginning %,Fibre: Colour,Fibre: Length (2.5 % span length)(mm),Fibre: Strength (g/tex),Fibre: Fineness (Micronaire value),Fibre: Uniformity (%),GROUP
IC357232  ,Present ,Light Green,Sparse,Flat,Present (/Sq. cm leaf),Present ,Present,Palmate,Medium,Absent,70 cm  ,Semi spreading ,frego,49 days ( Early) ,Cream,Absent,Embeded,Absent,cream,absent,solitary,green,ovate,smooth,pointed,open,4.0g ,Dense ,White ,7.0g ,32 ,White ,24.0 ,17.9 ,2.4 ,46 ,MARKER
IC 357267 ,Present ,Light Green,Sparse,Flat,Nil ,Present ,Present,palmate,Sparse,absent,65cm  , Semi spreading,normal,49 days (Early) ,cream,absent,embeded,absent,Yellow,Absent,solitary,green,Ovate,smooth,Blunt,Open,3.2 ,Dense ,White ,7.5g ,32.14 ,  White ,25.1 , 18.4, 2.4, 50,MARKER
IC 357272 ,Present ,Light Green,Medium to dense,Flat,Present (227/Sq. cm leaf), Present,Present,Palmate,Medium,Present,72cm , SS,Normal,42 days (Early) ,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,5.2 ,Medium,Grey ,7.0 ,35.17 ,White  ,22.8 , 19.0, 3.1, 50,MARKER
IC 357377 ,Present ,Light Green,Medium,Flat,Present (309/Sq. cm leaf) , present,Absent,palmate,medium,Present,70 cm , SS,normal, 53 Days (Medium),cream,absent,embeded,absent,cream,absent,solitary,green,ovate,smooth,pointed,open,4.5 ,Dense ,Brown,7.0 , 30.43,Brown ,21.5 , 19.5, 3.5, 50,MARKER
IC 357545 ,Present ,Light Green,Sparse,Flat,Present (313/Sq. cm leaf) ,,Present,palmate,medium,absent, 62 cm , Semi spreading,normal,52 Days ( Medium) ,cream,absent,embedded,absent,Yellow,Absent,Solitary,Green,Round,Smooth,bold,Open,3.5 ,Medium , Grey,7.0 ,35.7 ,White  ,23.2 , 19.8, 2.8, 48,MARKER
RHC 1189 , Present,Light Green,Sparse,Flat,Present (252/Sq. cm leaf) ,,Present,Palmate,Medium,Absent,105 cm  , Semi spreading ,Normal,48 Days (Medium) ,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,6.8 ,Medium ,Grey ,8.5 ,39.13 ,White  ,25.9 , 19.0, 2.9, 47,MARKER
RHC 357810 ,Present ,Green,Sparse,Flat,Present (241/Sq. cm leaf) ,Present ,Present,Palmate,Sparse-Medium,Absent,62 cm  ,SS ,Normal,52 Days (Medium) ,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,5.2 ,Medium , Grey,6.0 ,35.65 ,white,21.0 , 18.3, 2.7, 51,MARKER
IC 357810 ,Present  (Dark),                       Red,Sparse,Flat,Present (288/Sq. cm leaf) ,Present ,Present,Palmate,Sparse,present, 65 cm ,SS ,Normal, 49 Days (Medium),Pink,Absent,exerted,Absent,Cream,Absent,Solitary,red,Ovate,Smooth,Pointed,Open, 3.8,Medium , Grey,7.5 ,32.25 ,white , 24.1, 20.6, 3.0, 51,MARKER
IC 357812 ,Present , Green,Sparse (nil),Flat,Present (191/Sq. cm leaf) ,,                           Absent,Digitate,Sparse,Absent,58 cm  ,SS ,Normal,52 Days (Medium) ,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,4.4 , Medium, Grey,5.5 , 37.9,white ,23.6 ,16.7 , 3.4, 49,MARKER
IC 357814 ,Present ,Light Green,Sparse,Flat,Present (170/Sq. cm leaf) ,Present  ,absent,Palmate,Medium,Absent, 65 cm ,,Normal,46 Days (Early) ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,5.0 , Dense, Brown, 6.5, 23.17,Brown ,20.3 , 16.7, 3.4, 48,MARKER
IC 357814 ,Present  ,Green,Sparse,Flat,Present (150/Sq. cm leaf) ,Present ,Present,Palmate,sparse,Absent,60 cm  , SS,Normal,46 Days (Early)  ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,, Medium, Green,7.5 , 23.95,Green ,22.0 , 16.8, 2.4, 50,MARKER
