Hypocotyl: Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol Glands,Leaf: Nectaries,Leaf: Petiole Pigmentation,Leaf: Shape,Plant: Stem Hairiness,Plant: Stem Pigmentation,Plant: Height (cm),Plant: Growth Habit,Bract: Type,Flower: Time of Flowering (50% of plants with at least one open flower),Flower: Petal Colour,Flower: Petal Spot,Flower: Stigma,Flower: Anther Filament Colouration,Flower: Pollen Colour,Flower: Male Sterility (Only for A and B lines),Boll: Bearing Habit,Boll: Colour,Boll: Shape (Longitudinal Section),Boll: Surface,Boll: Prominence of Tip,Boll: Opening,Boll: Weight of Seed cotton/boll (grams),Seed: Fuzz,Seed: Fuzz Colour,Seed: Index (100 seed weight in grams),Ginning (%),Fibre: Colour,Fibre: Length (2.5% span length in mm),Fibre: Strength (G/Tex),Fibre: Fineness (micronaire value),Fibre: Uniformity (%),Group
Present,Light Green,Sparse,Flat,NA,Present,Present,Palmate,Medium,Absent,70,Semi Spreading,Frego,49,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,4,Dense,White,7,32,White,24,17.9,2.4,46,Marker
Present,Light Green,Sparse,Flat,NA,Present,Present,Palmate,Sparse,Absent,65,Semi Spreading,Normal,49,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.2,Dense,White,7.5,32.14,White,25.1,18.4,2.4,50,Marker
Present,Light Green,Medium - Dense,Flat,227,Present,Present,Palmate,Medium,Present,72,Semi Spreading,Normal,42,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,5.2,Medium,Grey,7,35.17,White,22.8,19,3.1,50,Marker
Present,Light Green,Medium,Flat,309,Present,Absent,Palmate,Medium,Present,70,Semi Spreading,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,4.5,Dense,Brown,7,30.43,Brown,21.5,19.5,3.5,50,Marker
Present,Light Green,Sparse,Flat,313,NA,Present,Palmate,Medium,Absent,62,Semi Spreading,Normal,52,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Bold,Open,3.5,Medium,Grey,7,35.7,White,23.2,19.8,2.8,48,Marker
Present,Light Green,Sparse,Flat,252,NA,Present,Palmate,Medium,Absent,105,Semi Spreading,Normal,48,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,6.8,Medium,Grey,8.5,39.13,White,25.9,19,2.9,47,Marker
Present,Green,Sparse,Flat,241,Present,Present,Palmate,Sparse - Medium,Absent,62,Semi Spreading,Normal,52,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,5.2,Medium,Grey,6,35.65,White,21,18.3,2.7,51,Marker
Present (Dark),Red,Sparse,Flat,288,Present,Present,Palmate,Sparse,Present,65,Semi Spreading,Normal,49,Pink,Absent,Exerted,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Pointed,Open,3.8,Medium,Grey,7.5,32.25,White,24.1,20.6,3,51,Marker
Present,Green,Sparse,Flat,191,NA,Absent,Digitate,Sparse,Absent,58,Semi Spreading,Normal,52,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,4.4,Medium,Grey,5.5,37.9,White,23.6,16.7,3.4,49,Marker
Present,Light Green,Sparse,Flat,170,Present,Absent,Palmate,Medium,Absent,65,NA,Normal,46,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,5,Dense,Brown,6.5,23.17,Brown,20.3,16.7,3.4,48,Marker
Present,Green,Sparse,Flat,150,Present,Present,Palmate,Sparse,Absent,60,Semi Spreading,Normal,46,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Medium,Green,7.5,23.95,Green,22,16.8,2.4,50,Marker
Present,Green,Medium,Flat,213,Present,Present,Palmate,Medium,Absent,71,NA,Normal,52,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Dense,Brown,7.5,19.42,Brown,23.1,14.3,2.1,46,Marker
Present,Green,Sparse,Flat,303,Present,Present,Palmate,Sparse,Absent,51,NA,Normal,44,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,5,Medium,Grey,6.5,39.44,White,21.9,17.4,3,50,Marker
Present,Green,Sparse,Flat,192,Present,Present,Palmate,Sparse,Present,55,NA,Normal,41,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,5.1,Dense,White,8.5,33.58,White,22.2,18.5,3.1,49,Marker
Present,Green,Sparse,Flat,178,Present,Present,Palmate,Sparse,Present,65,Semi Spreading,Normal,34,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,Sparse,Grey,5.5,40,White,NA,NA,NA,NA,Marker
Present,Green,Sparse,Flat,229,Present,Present,Palmate,Medium,Absent,55,Semi Spreading,Normal,41,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,4.9,Sparse,Grey,8.5,35.3,White,29,20.4,3,47,Marker
Present,Green,Sparse,Flat,185,Present,Present,Digitate,Sparse,Absent,54,Semi Spreading,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,Medium,Green,7,23.68,Green,23.2,19.2,3,49,Marker
Present,Light Green,Sparse,Flat,328,Present,Present,Palmate,Medium,Absent,70,Semi Spreading,Normal,54,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,4.5,Medium,Grey,6,42.2,White,23.5,19.1,3.5,49,Marker
Present,Green,Sparse - Medium,Flat,232,Present,Present,Palmate,Medium,Absent,56,Semi Spreading,Normal,50,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,5.3,Medium,Grey,7,40.24,White,25.8,19.4,3.2,46,Marker
Present,Green,Medium,Flat,229,Present,Present,Digitate,Medium,Present,40,Semi Spreading,Normal,50,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,8.8,Dense,White,9,30.32,White,26.6,17.6,3.7,47,Marker
Present (Red),Dark Red,Sparse,Flat,114,Present,Present,Palmate,Sparse,Present,52,Semi Spreading,Normal,50,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,5.5,Medium,Grey,7,34.7,White,25.7,19.4,3.2,46,Marker
Present (Red),Dark Red,Sparse,Flat,114,Present,Present,Palmate,Sparse,Present,52,Semi Spreading,Normal,50,Red,Absent,Embedded,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,5.5,Medium,Grey,7,34.7,White,25.7,19.4,3.2,46,Marker
Present,Green,Dense,Flat,207,Present,Present,Palmate,Dense,Absent,70,Semi Spreading,Normal,49,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,5.5,Sparse,Grey,9.5,35.6,White,24.9,20.7,4.4,50,Marker
Present,Green,Sparse,Flat,229,Present,Present,Palmate,Sparse,Present,55,Semi Spreading,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.4,Medium,White,7,35.16,Green,NA,NA,NA,NA,Marker
Present,Green,Sparse,Flat,215,Present,Present,Palmate,Sparse,Present,44,Semi Spreading,Normal,53,Pink,Absent,Embedded,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Pointed,Open,1.2,Medium,Grey,4.3,25,White,23.1,17.6,3.4,51,Marker
Present,Light Green,Medium,Flat,11,Present,Present,Digitate,Sparse,Absent,53,Semi Spreading,Normal,49,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.5,Dense,Grey,6.5,34.61,White,23.9,19,3.4,49,Marker
Present,Light Green,Sparse,Flat,174,NA,Present,Palmate,Sparse,Present,51,Semi Spreading,Normal,52,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Marker
Present (Red),Green,Medium,Flat,145,Present,Present,Palmate,Medium,Present,71,Semi Spreading,Normal,53,Bicolor,Absent,Embedded,Absent,Bicolor,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,2.3,Sparse,Grey,6,31.91,White,23.3,17.5,2.7,47,Marker
Present (Red),Red,Medium,Flat,145,Present,Present,Palmate,Medium,Present,71,Semi Spreading,Normal,53,Bicolor,Absent,Embedded,Absent,Bicolor,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,2.3,Sparse,Grey,6,31.91,White,23.3,17.5,2.7,47,Marker
Present,Light Green,Medium,Flat,184,Present,Present,Palmate,Medium,Absent,59,Semi Spreading,Normal,50,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,1.9,Dense,Green,6,34.21,Green,20.9,19.8,2.8,52,Marker
Present,Green,Medium,Flat,150,Present,Present,Palmate,Medium,Absent,60,Semi Spreading,Normal,39,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.2,Medium,Grey,9,34.06,White,26.5,17.1,3.2,44,Marker
Present (Red),Green,Medium,Flat,187,Present,Present,Palmate,Medium,Present,65,Semi Spreading,Normal,52,Bicolor,Absent,Embedded,Absent,Bicolor,Absent,Solitary,Red,Ovate,Smooth,Pointed,Open,2.3,Sparse,Grey,7,30.76,White,21.5,19.3,2.7,52,Marker
Present (Red),Red,Medium,Flat,187,Present,Present,Palmate,Medium,Present,65,Semi Spreading,Normal,52,Bicolor,Absent,Embedded,Absent,Bicolor,Absent,Solitary,Red,Ovate,Smooth,Pointed,Open,2.3,Sparse,Grey,7,30.76,White,21.5,19.3,2.7,52,Marker
Present,Light Green,Sparse,Flat,140,Absent,Absent,Palmate,Medium,Absent,NA,Semi Spreading,Normal,53,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.6,Medium,Grey,7,33.33,NA,NA,NA,NA,NA,Marker
Present,Light Green,Sparse,Flat,134,Present,Absent,Palmate,Medium,Absent,65,Semi Spreading,Normal,55,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,1.8,Medium,Grey,6,43.47,White,23.2,18.5,2.6,47,Marker
Present,Light Green,Medium - Dense,Flat,135,Present,Present (Faint),Palmate,Medium - Dense,Absent,65,Semi Spreading,Normal,56,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.2,Medium,Grey,8,35.85,White,25.1,20.9,3.5,50,BBR
Present (Faint Red),Light Green,Medium - Dense,Flat,124,Present,Present (Faint),Palmate,Dense,Absent,62,Semi Spreading,Normal,57,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.3,Dense,White,8,36.31,White,22.8,18.6,2.8,52,BBR
Present,Green,Sparse,Flat,120,Present,Present (Faint),Palmate,Medium,Absent,NA,Semi Spreading,Normal,52,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.1,Dense,White,7,34.88,White,NA,NA,NA,NA,BBR
Present,Light Green,Sparse,Flat,189,Present,Present,Palmate,Sparse,Absent,72,Semi Spreading,Normal,52,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.3,Medium,White,7,32.65,White,25.6,17.7,2.3,46,BBR
