States/UTs,Crime Head,Year,Cases pending investigation from previous year,Cases reported Under 156_3 during the year,Cases reported in Police Stations during the year,Cases reported during the year,No of victims in the registered cases,No of cases withdrawn by the Govt during investigation,Cases not investigated Under 157_1_b CRPC,Cases transferred to other Police Station or Magistrate,Cases ended as final report false,Cases ended as mistake of fact or of law,Cases in ended as final report as Non Cognizable Submitted,Cases Chargesheeted Out of Cases During the Year,Cases Chargesheeted Out of Cases from Previous Year,Cases Chargesheeted,Cases Not Chargesheeted but final report Submitted,Total cases Investigated,Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,Cases withdrawn by the Govt,Cases disposed off by Plea Bargaining,Cases for Trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases  convicted Out of Cases During the Year,Cases  convicted Out of Cases from Previous Year,Cases convicted,Cases Acquitted Out of Cases During the Year,Cases Acquitted Out of Cases from Previous Year,Cases Acquitted or Discharged,Cases Pending Trial at the end of the year
Andhra Pradesh,1 - Rape (Section 376 IPC),2014,602,9,952,961,962,0,0,9,31,5,0,255,395,650,13,699,855,1654,650,0,0,2304,11,469,0,59,59,3,407,410,1824
Andhra Pradesh,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.2 - Rape other than Custodial,2014,602,9,952,961,962,0,0,9,31,5,0,255,395,650,13,699,855,1654,650,0,0,2304,11,469,0,59,59,3,407,410,1824
Andhra Pradesh,1.2.1 - Rape_Gang Rape,2014,8,0,14,14,14,0,0,0,0,1,0,2,6,8,0,9,13,14,8,0,0,22,0,5,0,0,0,0,5,5,17
Andhra Pradesh,1.2.2 - Rape_Others,2014,594,9,938,947,948,0,0,9,31,4,0,253,389,642,13,690,842,1640,642,0,0,2282,11,464,0,59,59,3,402,405,1807
Andhra Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,48,2,163,165,165,0,0,0,18,1,0,69,32,101,5,125,88,111,101,0,0,212,10,69,0,6,6,3,60,63,133
Andhra Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,439,8,713,721,806,0,0,1,155,56,0,243,221,464,21,696,463,1104,464,0,0,1568,18,334,1,11,12,19,303,322,1216
Andhra Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,68,1,179,180,249,0,0,1,29,17,0,62,49,111,3,160,87,227,111,0,0,338,3,63,1,4,5,4,54,58,272
